2026-05-01 17:40:32 | INFO     | modelos.vgg16.treino | Stage 1: backbone congelado, treinando cabeça (LR=1.0e-03)
2026-05-01 19:59:33 | INFO     | modelos.vgg16.treino | Época  42/50 | loss 0.0918 | acc 0.9737 | val_loss 0.6768 | val_acc 0.8923
2026-05-01 20:03:02 | INFO     | modelos.vgg16.treino | Época  43/50 | loss 0.0935 | acc 0.9762 | val_loss 0.6928 | val_acc 0.8938
2026-05-01 20:06:30 | INFO     | modelos.vgg16.treino | Época  44/50 | loss 0.0811 | acc 0.9766 | val_loss 0.7330 | val_acc 0.8926
2026-05-01 20:09:59 | INFO     | modelos.vgg16.treino | Época  45/50 | loss 0.0885 | acc 0.9767 | val_loss 0.7643 | val_acc 0.8935
2026-05-01 20:13:27 | INFO     | modelos.vgg16.treino | Época  46/50 | loss 0.0778 | acc 0.9776 | val_loss 0.7690 | val_acc 0.8901
2026-05-01 20:16:56 | INFO     | modelos.vgg16.treino | Época  47/50 | loss 0.0749 | acc 0.9799 | val_loss 0.7874 | val_acc 0.8910
2026-05-01 20:20:24 | INFO     | modelos.vgg16.treino | Época  48/50 | loss 0.0694 | acc 0.9805 | val_loss 0.7980 | val_acc 0.8910
2026-05-01 20:23:53 | INFO     | modelos.vgg16.treino | Época  49/50 | loss 0.0712 | acc 0.9803 | val_loss 0.8036 | val_acc 0.8938
2026-05-01 20:27:21 | INFO     | modelos.vgg16.treino | Época  50/50 | loss 0.0706 | acc 0.9803 | val_loss 0.8128 | val_acc 0.8929
2026-05-01 20:27:22 | INFO     | modelos.vgg16.treino | Treino concluído. Épocas: 50 | Melhor val_acc: 0.8938 | Early stop: False
